ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
3,36, None, Light Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/CUTELABA_ION_L_03-09.png?itok=CpV_pW39, Ion Cutelaba," ""The Hulk""", Ivan Erslan, https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_BLUE.png, 
3,37, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/CHARRIERE_MORGAN_L_04-06.png?itok=aP3mCgdw, Morgan Charriere," ""The Last Pirate""", AJ Cunningham, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/CUNNINGHAM_AJ_R_03-02.png?itok=zl1FX6T-," ""The  Savage"""
3,38, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/ZIAM_FARES_L_02-24.png?itok=msJYq0jb, Farès Ziam," ""Smile Killer""", Matt Frevola, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/FREVOLA_MATT_R_05-06.png?itok=lOdBkgaF," ""The SteamRolla"""
3,39, None, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/BAREZ_DANIEL_L_07-22.png?itok=c7uXKJKg, Daniel Barez, , Victor Altamirano, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/ALTAMIRANO_VICTOR_R_06-03.png?itok=AFsKsOyt," ""El Magnifico"""
3,40, None, Light Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-05/SY_OUMAR_L_05-18.png?itok=VTmWe44s, Oumar Sy, , Da Woon Jung, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-07/JUNG_DA-UN_R_07-16.png?itok=t9tBsPlc," ""Sseda"""
3,41, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/ZHELEZNIAKOVA_DARIA_R_03-23.png?itok=SQpOEBhO, Daria Zhelezniakova," ""Iron Lady""", Ailin Perez, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/PEREZ_AILIN_R_11-18.png?itok=hzx1KJRM," ""Fiona"""
3,42, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/DE_RANDAMIE_GERMAINE_L_04-06.png?itok=xofoznfx, Germaine de Randamie," ""The Iron Lady""", Nora Cornolle, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-04/CORNOLLE_NORA_R_04-06.png?itok=SqYhD2JK, 
3,43, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/GOMIS_WILLIAM_L_09-02.png?itok=IcGbCG9-, William Gomis," ""Jaguar""", Joanderson Brito, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-05/BRITO_JOANDERSON_R_05-04.png?itok=HKuq8aR8," ""Tubarao"""
4,44, None, Light Heavyweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-06/PEREIRA_ALEX_L_BELT_06-29.png?itok=2qVbbW8l, Alex Pereira," ""Poatan""", Khalil Rountree Jr., https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-12/ROUNTREE_KHALIL_R_12-09.png?itok=RT7V2U6q, 
4,45, None, Women's Bantamweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/PENNINGTON_RAQUEL_L_BELTMOCK.png?itok=isCcH5hA, Raquel Pennington," ""Rocky""", Julianna Peña, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-03/40c89ff2-df46-4220-bdd3-1cbb87fb6e61%252FPENA_JULIANNA_R_12-11.png?itok=GBz7JkyB," ""The Venezuelan Vixen"""
