First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,29,12,0,0,6.14,48%,6.29,47%,1.63,46%,58%,0.8,41,FeatherWeight,1060
Jarno,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,14,5,1,0,3.44,46%,3.36,63%,0.00,0%,28%,0.3,20,FeatherWeight,1061
Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0,0,1.34,69%,1.59,41%,1.88,50%,0%,0.0,14,LightWeight,1062
Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,0,4.06,54%,1.13,61%,4.25,100%,50%,1.4,6,WelterWeight,1063
Bobby,Escalante,,--,130 lbs.,--,,5,6,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,BantamWeight,1064
Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,0,3.07,71%,1.74,43%,0.00,0%,0%,2.0,26,HeavyWeight,1065
Pro,Escobedo,,--,205 lbs.,--,,1,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,LightHeavyWeight,1066
Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,0,1.77,43%,4.32,49%,0.43,33%,13%,0.0,26,BantamWeight,1067
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,0,2.92,44%,2.30,63%,1.31,40%,66%,0.8,40,LightWeight,1068
Evan,Esguerra,,--,145 lbs.,--,,8,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,15,FeatherWeight,1069
Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,7,0,0,2.16,40%,2.69,55%,3.22,35%,47%,0.3,27,StrawWeight,1070
Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0,0,2.38,70%,1.95,40%,8.93,78%,50%,2.4,13,HeavyWeight,1071
Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,0,4.22,52%,2.94,57%,0.75,28%,70%,0.2,24,FlyWeight,1072
Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,0,4.10,31%,7.37,52%,0.75,21%,83%,0.0,12,StrawWeight,1073
Rafael,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,12,0,0,0,2.94,64%,3.35,34%,3.35,19%,0%,0.7,12,FlyWeight,1074
Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0,0,3.20,43%,3.27,70%,0.00,0%,0%,0.0,8,LightWeight,1075
Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,0,0.00,0%,0.00,0%,4.37,100%,100%,0.0,10,FlyWeight,1076
Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,0,2.16,35%,2.53,67%,0.43,30%,39%,1.4,21,LightWeight,1077
Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,MiddleWeight,1078
Scott,Ettling,,--,135 lbs.,--,,4,2,0,0,0.00,0%,0.54,83%,8.04,100%,0%,0.0,6,BantamWeight,1079
Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,0,4.30,43%,3.43,57%,1.90,44%,66%,0.3,15,FlyWeight,1080
Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,0,4.51,40%,3.96,61%,1.60,19%,61%,0.2,16,LightWeight,1081
Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,0,2.14,37%,2.42,63%,2.98,44%,73%,0.0,28,LightHeavyWeight,1082
Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,0,1.79,35%,2.55,55%,3.19,83%,69%,0.6,23,LightWeight,1083
Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0,0,4.03,34%,4.59,53%,0.95,22%,50%,0.0,12,BantamWeight,1084
Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,0,0.27,10%,3.86,38%,0.00,0%,0%,4.0,15,HeavyWeight,1085
Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,0,1.16,42%,4.02,38%,0.93,30%,33%,0.9,27,BantamWeight,1086
Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,18,0,0,0,4.43,48%,2.89,61%,4.75,46%,71%,0.2,18,FeatherWeight,1087
Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,0,4.28,40%,4.87,51%,0.36,75%,72%,0.1,26,FeatherWeight,1088
Neal,Ewing,,--,185 lbs.,--,,6,0,0,0,2.27,60%,1.93,48%,5.00,62%,0%,0.0,6,MiddleWeight,1089
Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,0,3.86,37%,4.19,55%,0.58,40%,57%,0.5,26,FlyWeight,1090
Edward,Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5,0,0,2.28,32%,6.25,44%,1.01,25%,33%,0.0,7,LightWeight,1091
Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0,0,2.65,40%,2.59,64%,1.54,30%,58%,0.8,46,BantamWeight,1092
Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2,0,4.03,41%,4.00,62%,0.00,0%,100%,0.0,10,FlyWeight,1093
Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0,0,1.19,38%,0.66,70%,3.44,64%,100%,0.4,20,FeatherWeight,1094
Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0,0,2.23,68%,1.46,51%,7.10,70%,80%,0.0,20,WelterWeight,1095
Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0,0,0.39,40%,8.90,42%,0.00,0%,0%,0.0,53,LightHeavyWeight,1096
Jason,Fairn,,"6' 1""",230 lbs.,--,,4,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,HeavyWeight,1097
Zarah,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0,0,4.55,31%,7.40,45%,0.00,0%,60%,0.0,12,BantamWeight,1098
Rinat,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,21,1,1,0,4.05,56%,2.16,52%,4.25,46%,100%,0.3,23,WelterWeight,1099
Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0,0,1.67,55%,0.53,86%,1.00,100%,71%,3.0,47,MiddleWeight,1100
Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,16,4,0,0,2.90,48%,2.63,48%,2.07,22%,83%,0.0,20,BantamWeight,1101
Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0,0,1.69,45%,2.17,53%,0.90,50%,20%,0.9,23,WelterWeight,1102
Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,1,1,0,0,6.69,64%,2.09,85%,1.25,50%,0%,1.2,2,LightWeight,1103
Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1,0,2.23,56%,1.44,45%,1.31,66%,20%,0.7,27,FlyWeight,1104
Jair,Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0,0,3.80,39%,5.33,51%,0.00,0%,41%,0.0,11,FeatherWeight,1105
Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0,0,0.81,22%,2.21,67%,3.02,100%,0%,0.0,11,FeatherWeight,1106
Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0,0,6.33,41%,7.20,51%,0.00,0%,20%,0.0,10,WelterWeight,1107
Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0,0,4.01,48%,3.61,52%,0.00,0%,44%,0.0,6,BantamWeight,1108
Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3,0,2.30,53%,1.60,54%,4.50,100%,25%,0.0,48,HeavyWeight,1109
Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0,0,3.70,44%,3.44,48%,0.29,28%,64%,0.2,23,LightWeight,1110
Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0,0,4.88,45%,5.60,50%,0.00,0%,72%,0.0,13,HeavyWeight,1111
JP,Felty,,--,170 lbs.,--,,4,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,WelterWeight,1112
Feng,Pengchao,,--,135 lbs.,--,,15,9,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,25,BantamWeight,1113
Feng,Xiaocan,,"5' 7""",115 lbs.,"66.0""",Southpaw,9,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,StrawWeight,1114
Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0,0,2.30,50%,3.41,38%,3.10,72%,36%,1.2,7,HeavyWeight,1115
Rhadi,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,LightHeavyWeight,1116
Tony,Ferguson,El Cucuy,"5' 11""",170 lbs.,"76.0""",Orthodox,26,10,0,0,4.94,45%,4.41,55%,0.39,35%,67%,0.9,36,WelterWeight,1117
Josh,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0,0,2.13,43%,4.18,32%,0.59,11%,54%,0.0,15,FlyWeight,1118
CJ,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,25,WelterWeight,1119
Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0,0,2.91,40%,2.02,72%,3.97,53%,77%,0.6,23,FeatherWeight,1120
Gabriella,Fernandes,Gabi,"5' 6""",125 lbs.,"66.0""",Southpaw,8,3,0,0,1.63,47%,2.70,47%,0.00,0%,61%,0.0,11,FlyWeight,1121
Kaue,Fernandes,,"5' 9""",155 lbs.,"73.0""",Orthodox,8,2,0,0,1.53,54%,0.87,59%,1.00,100%,62%,0.0,10,LightWeight,1122
Emily,Fernandez,,--,--,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,HeavyWeight,1123
Lucas,Fernando,,"6' 3""",185 lbs.,"80.0""",,9,2,0,0,1.87,51%,4.73,38%,3.00,30%,0%,1.0,11,MiddleWeight,1124
Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0,0,2.57,60%,8.14,42%,0.00,0%,0%,0.0,24,LightHeavyWeight,1125
Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0,0,1.90,42%,2.44,53%,2.69,53%,84%,0.5,21,MiddleWeight,1126
Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,19,5,0,0,5.04,39%,3.43,56%,0.96,30%,60%,0.6,24,LightWeight,1127
Erisson,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0,0,1.75,32%,2.75,56%,1.11,100%,66%,1.7,14,FlyWeight,1128
Brunno,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,11,1,0,0,5.00,50%,4.17,48%,1.25,16%,66%,0.0,12,MiddleWeight,1129
Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,HeavyWeight,1130
Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,LightHeavyWeight,1131
Andre,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0,0,3.30,41%,6.26,45%,0.25,100%,66%,0.0,24,WelterWeight,1132
Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0,0,2.33,41%,2.29,57%,1.30,35%,30%,2.2,63,LightWeight,1133
Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,HeavyWeight,1134
Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1,0,0.33,33%,2.64,11%,0.00,0%,0%,0.0,61,LightHeavyWeight,1135
Michal,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,2,0,0,4.00,39%,4.93,52%,0.50,12%,57%,0.0,10,LightWeight,1136
Deiveson,Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,23,3,1,0,3.01,55%,3.38,50%,1.65,42%,58%,1.7,27,BantamWeight,1137
Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1,0,2.04,61%,2.59,61%,2.51,75%,76%,0.4,19,FlyWeight,1138
Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,0,2.37,48%,3.77,49%,0.00,0%,58%,0.0,20,BantamWeight,1139
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,0,2.57,39%,3.06,51%,0.20,100%,37%,0.6,14,BantamWeight,1140
Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,0,1.86,48%,1.67,66%,2.40,32%,42%,1.6,32,MiddleWeight,1141
Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,16,3,0,0,2.36,41%,2.00,47%,1.77,33%,55%,2.6,19,FlyWeight,1142
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,23,11,0,0,3.85,37%,4.11,51%,2.16,47%,69%,0.3,34,FeatherWeight,1143
Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,0,2.11,50%,1.89,63%,0.19,40%,78%,0.3,48,HeavyWeight,1144
Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,0,1.69,41%,1.69,61%,3.63,25%,0%,3.6,5,MiddleWeight,1145
Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,WelterWeight,1146
Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,0,2.16,28%,8.75,42%,0.77,11%,25%,0.0,23,BantamWeight,1147
Torrez,Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,7,0,0,0,0.91,58%,2.33,47%,13.61,63%,0%,3.9,7,MiddleWeight,1148
Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,0,2.23,42%,2.21,69%,3.76,63%,67%,0.9,41,WelterWeight,1149
Nick,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0,0,2.83,46%,7.93,42%,2.50,45%,71%,0.0,8,LightWeight,1150
Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,12,1,0,0,6.26,41%,3.77,68%,1.17,42%,93%,0.0,13,FlyWeight,1151
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,0,1.23,50%,1.22,51%,3.86,45%,20%,0.9,27,LightWeight,1152
Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,0,3.17,43%,3.03,64%,0.67,30%,60%,0.8,33,LightWeight,1153
Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,0,2.01,32%,2.70,46%,2.59,46%,44%,1.3,23,FeatherWeight,1154
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,0,1.40,46%,1.20,57%,2.00,25%,50%,0.0,6,FeatherWeight,1155
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,0,2.61,50%,1.65,54%,3.60,51%,56%,0.8,38,WelterWeight,1156
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,LightHeavyWeight,1157
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,3,0,0,4.90,51%,4.97,49%,0.29,40%,89%,0.0,15,LightWeight,1158
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,0,3.10,34%,2.97,62%,0.00,0%,27%,0.0,22,LightWeight,1159
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0,0,3.36,49%,4.61,46%,1.54,35%,33%,0.9,13,WelterWeight,1160
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,7,0,0,1.70,50%,5.20,40%,1.79,26%,0%,5.4,24,FlyWeight,1161
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,0,1.56,44%,1.88,60%,0.00,0%,40%,1.2,11,LightWeight,1162
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,0,2.00,37%,7.80,25%,1.00,9%,0%,0.0,10,LightHeavyWeight,1163
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,0,3.66,40%,2.02,54%,0.00,0%,0%,0.0,20,FeatherWeight,1164
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,0,2.41,40%,1.85,63%,2.22,33%,60%,1.3,20,FeatherWeight,1165
Darrius,Flowers,Beast Mode,"5' 9""",155 lbs.,"71.0""",Orthodox,12,7,1,0,2.94,54%,5.16,43%,0.63,20%,60%,0.0,20,LightWeight,1166
Cody,Floyd,,--,--,--,,2,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,HeavyWeight,1167
Bobby,Flynn,,--,170 lbs.,--,,6,4,0,0,0.38,25%,0.77,0%,0.00,0%,0%,0.0,10,WelterWeight,1168
Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0,0,2.76,54%,2.83,54%,2.10,25%,50%,0.0,17,LightWeight,1169
Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0,0,2.86,14%,14.29,54%,0.00,0%,0%,0.0,10,HeavyWeight,1170
Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0,0,0.00,0%,3.37,56%,0.00,0%,0%,0.0,9,HeavyWeight,1171
AJ,Fonseca,,"5' 4""",145 lbs.,--,,5,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,FeatherWeight,1172
Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,20,8,0,0,5.53,45%,3.65,56%,0.89,35%,46%,0.3,28,BantamWeight,1173
Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1,0,2.62,42%,10.25,28%,0.00,0%,0%,0.0,26,MiddleWeight,1174
Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,0,2.11,24%,4.06,53%,1.79,75%,66%,1.2,20,MiddleWeight,1175
Sterling,Ford,,"5' 10""",155 lbs.,--,,15,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,22,LightWeight,1176
Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,20,WelterWeight,1177
Raheam,Forest,Rambo,"5' 11""",170 lbs.,"73.0""",Switch,7,2,0,0,5.32,38%,12.15,42%,0.00,0%,0%,0.0,9,WelterWeight,1178
Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0,0,1.42,39%,2.34,64%,1.82,35%,87%,0.6,31,FlyWeight,1179
Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,0,2.08,32%,2.12,63%,2.32,58%,66%,0.0,12,LightWeight,1180
Brianna,Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0,0,3.53,41%,3.23,57%,2.50,45%,66%,0.0,12,StrawWeight,1181
Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0,0,3.83,46%,4.52,64%,0.45,8%,75%,0.5,12,LightHeavyWeight,1182
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,0,3.30,39%,1.63,65%,3.67,60%,37%,1.8,37,WelterWeight,1183
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,0,1.47,43%,2.50,49%,0.00,0%,16%,0.0,54,MiddleWeight,1184
Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,WelterWeight,1185
Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,0,1.33,32%,4.59,50%,0.00,0%,0%,0.0,22,FeatherWeight,1186
Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,0,1.78,39%,2.85,55%,1.53,36%,37%,2.4,41,LightWeight,1187
Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,0,2.35,42%,3.46,47%,2.68,42%,76%,0.3,20,LightWeight,1188
Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,0,0.54,33%,3.51,27%,0.00,0%,0%,6.1,19,LightHeavyWeight,1189
John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,0,1.83,48%,2.59,48%,2.68,80%,40%,0.3,8,FeatherWeight,1190
Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,0,4.10,44%,2.07,62%,1.31,66%,63%,0.7,36,MiddleWeight,1191
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,0,0.77,31%,1.64,53%,0.00,0%,57%,0.0,18,BantamWeight,1192
Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,0,1.43,21%,3.57,60%,0.00,0%,0%,0.0,15,StrawWeight,1193
Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,15,HeavyWeight,1194
Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,0,1.50,39%,2.77,46%,0.00,0%,100%,0.0,6,HeavyWeight,1195
Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,0,1.11,66%,6.11,4%,0.00,0%,0%,0.0,13,HeavyWeight,1196
Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,0,2.54,48%,3.11,44%,1.44,40%,80%,0.7,28,HeavyWeight,1197
Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,HeavyWeight,1198
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,Orthodox,26,6,0,0,1.53,37%,0.93,62%,0.50,100%,73%,0.0,32,LightWeight,1199
Patricio,Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0,0,2.84,41%,4.43,60%,0.60,18%,94%,0.6,30,FeatherWeight,1200
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,0,3.06,44%,3.34,69%,1.26,33%,100%,0.0,25,LightWeight,1201
Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6,10,0,0,0.00,0%,8.37,19%,0.00,0%,33%,1.9,16,LightHeavyWeight,1202
Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,0,2.00,29%,8.00,51%,11.25,50%,0%,0.0,9,LightHeavyWeight,1203
Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,0,2.40,27%,3.20,52%,1.00,100%,26%,0.0,9,BantamWeight,1204
Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,11,5,0,0,2.93,43%,2.63,47%,0.84,25%,31%,1.4,16,MiddleWeight,1205
Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,0,1.52,50%,1.27,16%,0.00,0%,100%,0.0,26,WelterWeight,1206
Mike,French,,"5' 10""",145 lbs.,--,,9,10,0,0,0.23,23%,2.17,42%,0.00,0%,22%,1.0,19,FeatherWeight,1207
Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,11,4,1,0,3.71,42%,3.57,59%,2.59,40%,42%,0.9,16,LightWeight,1208
Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,10,0,0,2.97,43%,4.23,52%,1.02,36%,90%,0.3,21,StrawWeight,1209
Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,11,MiddleWeight,1210
Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,0,4.52,52%,2.57,55%,0.00,0%,53%,0.0,11,FlyWeight,1211
Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,0,2.87,64%,3.57,37%,0.91,57%,45%,0.7,30,HeavyWeight,1212
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,0,3.49,39%,6.50,43%,0.00,0%,66%,0.5,24,MiddleWeight,1213
Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,9,4,0,0,4.30,54%,5.13,48%,3.43,33%,50%,0.0,13,WelterWeight,1214
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,0,1.03,33%,4.91,38%,0.00,0%,25%,0.0,4,HeavyWeight,1215
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,0,4.00,50%,4.43,64%,2.14,25%,50%,2.1,28,LightHeavyWeight,1216
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,0,2.40,42%,0.00,100%,0.00,0%,0%,12.0,29,StrawWeight,1217
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,0,1.05,49%,1.99,52%,2.78,36%,85%,0.6,27,HeavyWeight,1218
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,0,0.73,44%,1.20,47%,0.00,0%,23%,2.5,34,FeatherWeight,1219
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,0,4.24,43%,3.71,64%,2.17,43%,70%,0.0,33,MiddleWeight,1220
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,0,2.46,32%,3.50,54%,0.47,33%,69%,0.0,18,FeatherWeight,1221
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,316,HeavyWeight,1222
