First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,HeavyWeight,2116
Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,8,0,0,4.46,42%,3.84,57%,1.25,41%,60%,0.0,27,WelterWeight,2117
Li,Yunfeng,,"5' 8""",135 lbs.,"68.0""",Orthodox,9,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,14,BantamWeight,2118
Liang,Na,The Dragon Girl,"5' 5""",125 lbs.,"67.0""",Orthodox,19,8,0,0,1.99,42%,3.95,36%,3.60,58%,25%,0.5,27,FlyWeight,2119
Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,0,2.46,51%,2.76,41%,3.28,53%,30%,1.6,31,WelterWeight,2120
Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,0,2.97,35%,2.71,56%,0.44,75%,81%,0.0,29,LightHeavyWeight,2121
Rodrigo,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0,0,0.97,50%,0.00,100%,0.00,0%,50%,0.0,15,LightWeight,2122
Sam,Liera,,--,--,--,,12,10,0,0,0.82,60%,7.36,51%,0.00,0%,66%,0.0,22,HeavyWeight,2123
Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,0,0.81,33%,1.90,48%,1.36,100%,0%,0.0,20,WelterWeight,2124
Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,0,2.91,21%,4.24,49%,0.00,0%,0%,0.0,8,LightHeavyWeight,2125
Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,0,0.29,33%,1.44,0%,0.00,0%,50%,0.0,25,MiddleWeight,2126
Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,0,2.25,41%,1.75,65%,2.50,28%,0%,1.2,24,WelterWeight,2127
Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0,0,2.43,50%,4.05,37%,12.16,100%,100%,0.0,23,WelterWeight,2128
Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1,0,4.45,41%,5.07,51%,0.23,100%,73%,0.2,21,WelterWeight,2129
Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0,0,1.94,44%,2.11,55%,1.72,31%,70%,0.0,14,StrawWeight,2130
Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0,0,3.12,39%,3.88,58%,1.26,34%,73%,0.6,26,WelterWeight,2131
Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0,0,1.92,36%,2.84,60%,0.60,100%,46%,0.0,35,WelterWeight,2132
Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0,0,3.07,63%,5.67,44%,0.00,0%,100%,0.0,8,BantamWeight,2133
Andre,Lima,Mascote,"5' 7""",125 lbs.,"67.0""",Orthodox,8,0,0,0,3.98,60%,2.67,60%,1.31,66%,61%,1.3,8,FlyWeight,2134
Miguel,Linares,,--,--,--,,2,4,0,0,6.51,50%,8.84,36%,0.00,0%,0%,0.0,6,HeavyWeight,2135
Emiliano,Linares,Golden Bull,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0,0,1.17,28%,3.59,26%,0.00,0%,33%,0.0,10,FeatherWeight,2136
Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0,0,2.62,50%,1.56,52%,3.01,48%,60%,1.3,31,MiddleWeight,2137
Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0,0,3.44,52%,4.01,46%,0.65,33%,50%,0.0,19,LightWeight,2138
John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0,0,5.36,40%,4.27,56%,0.56,58%,67%,0.6,40,BantamWeight,2139
Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,3,0,0,3.86,37%,4.86,57%,0.43,66%,75%,0.0,12,FeatherWeight,2140
Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0,0,0.99,22%,3.47,34%,1.86,50%,50%,1.9,27,MiddleWeight,2141
Philipe,Lins,Monstro,"6' 2""",205 lbs.,"78.0""",Orthodox,18,5,0,0,3.80,49%,3.59,46%,1.65,33%,100%,0.0,23,LightHeavyWeight,2142
Tainara,Lisboa,Thai Panther,"5' 7""",135 lbs.,"67.0""",Orthodox,7,2,0,0,2.05,50%,1.40,54%,2.05,40%,70%,0.5,9,BantamWeight,2143
Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0,0,1.26,35%,1.89,61%,1.58,15%,50%,1.1,20,MiddleWeight,2144
Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,12,LightHeavyWeight,2145
James,Llontop,Goku,"6' 0""",155 lbs.,"73.0""",Orthodox,14,3,0,0,4.76,52%,2.10,70%,0.00,0%,50%,0.0,17,LightWeight,2146
Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1,0,6.27,49%,6.87,43%,2.00,20%,0%,0.0,30,LightWeight,2147
Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3,0,3.87,42%,0.00,0%,0.00,0%,66%,0.0,19,LightWeight,2148
John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,LightHeavyWeight,2149
Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1,0,3.52,41%,4.82,50%,0.39,25%,52%,0.0,29,FeatherWeight,2150
Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0,0,1.31,53%,3.31,52%,2.31,40%,28%,1.2,8,FeatherWeight,2151
Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,36,MiddleWeight,2152
Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0,0,5.27,49%,6.93,44%,0.00,0%,0%,2.0,6,LightWeight,2153
David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0,0,1.59,44%,3.64,43%,0.43,42%,36%,0.1,34,MiddleWeight,2154
Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1,0,3.02,46%,3.35,53%,1.69,48%,77%,0.5,45,MiddleWeight,2155
Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0,0,1.47,62%,2.63,31%,2.50,21%,60%,0.0,13,WelterWeight,2156
Rocky,Long,,--,145 lbs.,--,,21,37,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,59,FeatherWeight,2157
Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,FeatherWeight,2158
Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,9,3,0,0,4.10,57%,2.48,53%,1.90,50%,72%,0.1,12,StrawWeight,2159
Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,10,3,0,0,6.09,46%,6.67,52%,2.05,42%,90%,0.2,13,WelterWeight,2160
Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,48,MiddleWeight,2161
Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0,0,2.37,36%,3.33,53%,2.50,31%,100%,1.5,22,BantamWeight,2162
Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,24,6,0,0,3.22,58%,4.73,37%,0.00,0%,42%,5.0,30,FeatherWeight,2163
Bruno,Lopes,Brunao,"6' 2""",205 lbs.,"75.0""",Orthodox,11,1,0,0,5.29,35%,8.46,53%,0.00,0%,0%,0.0,12,LightHeavyWeight,2164
Arthur,Lopes,Jon Jones,--,265 lbs.,--,,6,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,HeavyWeight,2165
Ivan,Lopez,,"5' 6""",135 lbs.,--,Southpaw,14,3,1,0,0.90,26%,2.24,65%,0.00,0%,30%,0.0,18,BantamWeight,2166
